| FUTSTK     | ABIRLANUVO |     -1 | 1148740200 | 47967 |   250 | XX         | ABIRLANUVO |
| FUTSTK     | ACC        |     -1 | 1148740200 | 47968 |   375 | XX         | ACC        |
| FUTSTK     | ADANIENT   |     -1 | 1148740200 | 47969 |  6000 | XX         | ADANIENT   |
| FUTSTK     | ADANIPORTS |     -1 | 1148740200 | 47970 |  1600 | XX         | ADANIPORTS |
| FUTSTK     | ADANIPOWER |     -1 | 1148740200 | 47971 | 20000 | XX         | ADANIPOWER |
| FUTSTK     | AJANTPHARM |     -1 | 1148740200 | 47972 |   400 | XX         | AJANTPHARM |
| FUTSTK     | ALBK       |     -1 | 1148740200 | 47973 |  6000 | XX         | ALBK       |
| FUTSTK     | AMARAJABAT |     -1 | 1148740200 | 47975 |   600 | XX         | AMARAJABAT |
| FUTSTK     | AMBUJACEM  |     -1 | 1148740200 | 47976 |  2100 | XX         | AMBUJACEM  |
| FUTSTK     | ANDHRABANK |     -1 | 1148740200 | 47977 |  8000 | XX         | ANDHRABANK |
| FUTSTK     | APOLLOHOSP |     -1 | 1148740200 | 47979 |   400 | XX         | APOLLOHOSP |
| FUTSTK     | APOLLOTYRE |     -1 | 1148740200 | 47980 |  3000 | XX         | APOLLOTYRE |
| FUTSTK     | ARVIND     |     -1 | 1148740200 | 47984 |  1700 | XX         | ARVIND     |
| FUTSTK     | ASHOKLEY   |     -1 | 1148740200 | 47985 |  7000 | XX         | ASHOKLEY   |
| FUTSTK     | ASIANPAINT |     -1 | 1148740200 | 47986 |   600 | XX         | ASIANPAINT |
| FUTSTK     | AUROPHARMA |     -1 | 1148740200 | 47991 |   700 | XX         | AUROPHARMA |
| FUTSTK     | AXISBANK   |     -1 | 1148740200 | 48003 |  1000 | XX         | AXISBANK   |
| FUTSTK     | BAJAJ-AUTO |     -1 | 1148740200 | 48004 |   200 | XX         | BAJAJ-AUTO |
| FUTSTK     | BAJFINANCE |     -1 | 1148740200 | 48018 |   125 | XX         | BAJFINANCE |
| FUTSTK     | BANKBARODA |     -1 | 1148740200 | 48019 |  3100 | XX         | BANKBARODA |
| FUTSTK     | BANKINDIA  |     -1 | 1148740200 | 48020 |  3000 | XX         | BANKINDIA  |
| FUTSTK     | BATAINDIA  |     -1 | 1148740200 | 48021 |  1000 | XX         | BATAINDIA  |
| FUTSTK     | BEL        |     -1 | 1148740200 | 48022 |   450 | XX         | BEL        |
| FUTSTK     | BEML       |     -1 | 1148740200 | 48023 |   500 | XX         | BEML       |
